Q1|HAZEL, Choose your destination|Secluded Beach,Mountain,City Penthouse,Luxury Spa Retreat,European Beach Club,Masquerade Ball
Q2_BeachClub|We're at the VIP table. A GORGEOUS girl comes up and starts dancing right in front of us. She's locking eyes with me. What to do ?|I look at you for permission. If you nod I dance with her but I keep my eyes on you.,I grab your hand and pull you into the dance WITH me and her.,I turn her down and pull you closer—you only want to dance with me.,I dance with her—grinding touching—because I know it drives you wild to watch.,Other
Q3_BeachClub|A handsome guy approaches you on the dance floor. He's tall dark and confident. He asks to dance. What do you want to do?|You dance with him—close sensual—while I look at you the whole time.,you let him dance with you and you whisper in his ear that my boyfriend is watching.,you dance with him then you pull him close and kiss him—because you know that's YOUR fantasy.,you politely decline and come back to me. you only want ME.,Other
Q4_BeachClub_Kiss|The same guy is now kissing you on the dance floor. Deep, passionate kissing. I'm watching from the booth. What's your body doing while you're kissing him?|Your hands are in his hair. You are kissing him back just as passionately.,Your eyes are OPEN and You are looking directly at me while he kisses you.,Your hand reaches back to find Me-You want to touch me while he kisses you.,you pull back after a few seconds. A little kiss is fun but You don't want to go too far.,Other
Q5_BeachClub_Watch|Now I'M the one kissing another girl on the dance floor. She's beautiful, and I'm deep in it. You're watching. What's YOUR reaction?|Your are jealous but in a hot way. You march over and pull Me away from her to kiss Me.,You sit back and enjoy the show. It turns You on to see Me desired.,You come over and join in—You start kissing HER while I watch.,You are actually angry. you don't want to share me at all.,Other
Q2_Masquerade|We walk in. Everyone is masked and mysterious. We see a couple going at it in a semi-private corner. What's your first thought?|you want to watch them—let's find a spot nearby and observe.,you want to find our OWN corner and do the same thing.,you are shocked but intrigued—you want to see if they invite us to join.,you pull me close and whisper 'Let's find a room of our own.',Other
Q3_Masquerade|A stunning girl in a black mask approaches us. She says she's been watching. She asks if she can join us upstairs. What's your gut reaction?|YES. Take her hand and lead her up looking back at me with a wicked smile.,YES but you want to set ground rules first—you are in control.,Maybe. you want to see how she kisses ME first before you decide.,No. you are not interested in sharing tonight.,Other
Q4_Masquerade_FFM|We're in the private room. She's on the bed with us. YOU are in charge. What's your first command for me and her?|you want me to kiss her while you watch—then you join in.,you want her on her knees for me and you on your knees for ME as well.,you want to take her while I take you from behind—a perfect triangle.,you want us both on you—one at your mouth one at you down there you know.,Other
Q5_Masquerade_WatchHim|A masked man approaches YOU. He asks if he can touch you. I say, 'Only if you want him to.' What happens next?|He kisses you touches you and you let him—while I sit back and watch.,He kisses you but you stop him and say 'Only my boyfriend can have me—but you can watch.',He touches you but you whisper 'The only way this happens is if my boyfriend joins in too.',You say yes to everything. He takes you and I watch—and it's the hottest thing you've ever done.,Other
Q6_Masquerade_WatchHer|Now I bring a girl into our room. I lay her on the bed and start making love to her—but I'm looking at YOU the whole time. What are you doing?|Watching touching yourself loving every second of the show.,Coming over to join—us don't want to just watch you want to be involved.,Getting possessive—you push her aside and take her place.,You whisper 'When she leaves you're MINE for the rest of the night.',Other
R1_Combine|If you could combine 3 things into our ULTIMATE fantasy trip, what would they be?|The beach the spa and the threesome.,The mountains the masquerade ball and watching you with another girl.,The city penthouse the beach club and the nude massage.,The spa the beach club and dancing with strangers.,Other
R2_FirstTry|What's the ONE thing you'd want to try FIRST in real life?|The nude massage with a happy ending.,Dancing and kissing someone else while I watch.,A threesome with another girl.,Being completely naked and intimate in a public/semi-public place.,Other
R3_TurnOn|On a scale of 1-10, how turned on are you right now? And what's the ONE thing you want me to do to you immediately?|7—you are excited but nervous. you want me to kiss you slowly.,9—you want me RIGHT NOW. Take you to the bedroom.,10—you are dripping and you are not waiting another second. Take you right here.,8—you want me to whisper in your ear what i am going to do to you.,Other
R4_FinalFantasy|If we could create ONE memory from that night that we'll never forget... what would it look like?|I carrying You to the bedroom and making love to You slowly all night.,I am taking control and having My way with you right here right now.,Us talking about all of this while you touch me under the table.,Us falling asleep naked tangled up in each other no words needed.,Other
